,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
1,A.J. Greer\greeraj01,22,COL,LW,15,1,0.07,0.07,0.13,0.05,0.93,0.60,1,1,2,1,2,0,4,0,-2,3.6,3.8,-0.2,0.0,0.0,0.1,0,,,
2,Aaron Dell\dellaa01,29,SJS,G,25,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,77,21,70,17,0,51.5,44.1,,0.0,0.0,1.9,0,,,
3,Aaron Ekblad\ekblaaa01,22,FLA,D,82,13,0.16,0.29,0.45,0.16,0.57,2.20,13,24,37,14,113,17,119,24,1,72.2,74.0,-1.8,2.6,4.2,6.8,0,,,
4,Adam Clendening\clendad01,26,CBJ,D,4,0,0.00,0.00,0.00,0.00,0.00,0.75,0,0,0,0,2,0,2,1,1,1.6,2.5,-0.9,-0.1,0.2,0.1,0,,,
5,Adam Cracknell\crackad01,33,ANA,RW,2,0,0.00,0.00,0.00,0.00,0.00,1.50,0,0,0,0,0,0,1,0,-1,0.6,1.5,-0.9,-0.1,0.0,-0.1,0,,,
6,Adam Erne\ernead01,23,TBL,LW,65,7,0.11,0.20,0.31,0.11,0.62,1.08,7,13,20,7,34,4,21,1,10,23.0,25.0,-2.0,0.8,1.0,1.7,0,,,
7,Adam Gaudette\gaudead01,22,VAN,C,56,5,0.09,0.13,0.21,0.08,0.32,0.98,5,7,12,5,24,7,25,0,-8,16.4,26.1,-9.6,0.0,0.5,0.5,0,,,
8,Adam Henrique\henriad01,28,ANA,C,82,16,0.22,0.29,0.51,0.20,0.29,1.49,18,24,42,16,68,23,60,10,-5,41.9,43.2,-1.2,2.3,1.6,4.0,0,,,
9,Adam Johnson\johnsad01,24,PIT,C,6,1,0.00,0.33,0.33,0.09,0.00,0.50,0,2,2,1,3,0,1,0,2,1.8,1.4,0.3,0.1,0.1,0.2,0,,,
10,Adam Larsson\larssad01,26,EDM,D,82,6,0.04,0.21,0.24,0.08,0.54,1.43,3,17,20,6,54,1,107,26,-28,62.4,69.6,-7.1,0.2,1.7,1.8,0,,,
11,Adam Lowry\lowryad01,25,WPG,LW,78,9,0.15,0.14,0.29,0.12,0.42,1.35,12,11,23,10,38,0,49,17,6,34.6,34.7,-0.1,0.3,1.4,1.8,0,,,
12,Adam McQuaid\mcquaad01,32,TOT,D,50,3,0.06,0.08,0.14,0.05,0.84,0.56,3,4,7,3,30,0,38,10,2,25.9,28.9,-3.1,0.1,1.8,1.9,0,,,
13,Adam Pelech\pelecad01,24,NYI,D,78,7,0.06,0.21,0.27,0.09,0.31,1.41,5,16,21,7,58,0,54,18,22,55.3,51.5,3.8,0.9,5.1,5.9,0,,,
14,Adin Hill\hillad01,22,ARI,G,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,37,7,32,5,0,21.6,22.8,,0.0,0.0,1.5,0,,,
15,Adrian Kempe\kempead01,22,LAK,LW,81,11,0.15,0.20,0.35,0.14,0.62,1.46,12,16,28,11,40,6,46,2,-10,39.1,36.1,3.1,0.8,1.2,2.0,5,1,4,20.0
16,Alan Quine\quineal01,25,CGY,C,13,2,0.23,0.15,0.38,0.16,0.46,0.85,3,2,5,2,5,1,4,0,0,4.3,4.4,-0.1,0.4,0.1,0.6,0,,,
17,Alec Martinez\martial01,31,LAK,D,60,6,0.07,0.23,0.30,0.10,0.13,1.30,4,14,18,6,53,2,65,12,-2,43.4,46.1,-2.7,0.7,3.1,3.8,0,,,
18,Aleksander Barkov\barkoal01,23,FLA,C,82,35,0.43,0.74,1.17,0.43,0.10,2.51,35,61,96,36,144,55,115,23,-3,63.3,64.6,-1.3,7.9,2.1,10.0,10,3,7,30.0
19,Alex Biega\biegaal01,30,VAN,D,41,5,0.05,0.34,0.39,0.12,0.54,2.22,2,14,16,5,33,1,33,1,0,28.5,30.3,-1.8,1.0,1.8,2.7,0,,,
20,Alex Chiasson\chiasal01,28,EDM,RW,73,16,0.30,0.22,0.52,0.22,0.44,1.68,22,16,38,16,73,31,49,6,-1,38.0,40.4,-2.4,2.6,1.4,4.0,3,1,2,33.3
21,Alex DeBrincat\debrial01,21,CHI,RW,82,31,0.50,0.43,0.93,0.38,0.18,2.68,41,35,76,32,114,38,76,0,0,55.5,57.8,-2.2,7.6,1.2,8.8,2,1,1,50.0
22,Alex Formenton\formeal01,19,OTT,LW,9,1,0.11,0.00,0.11,0.06,0.67,1.78,1,0,1,1,3,0,6,1,-2,3.1,4.1,-1.0,-0.1,0.0,-0.1,0,,,
23,Alex Galchenyuk\galchal01,24,ARI,C,72,17,0.26,0.31,0.57,0.23,0.47,2.21,19,22,41,16,56,27,48,0,-19,36.4,45.8,-9.4,3.1,1.0,4.1,6,3,3,50.0
24,Alex Goligoski\goligal01,33,ARI,D,76,8,0.04,0.32,0.36,0.11,0.21,1.34,3,24,27,8,70,14,72,10,-7,57.9,57.1,0.7,1.2,3.9,5.1,0,,,
25,Alex Iafallo\iafalal01,25,LAK,C,82,13,0.18,0.22,0.40,0.16,0.27,1.80,15,18,33,13,56,9,68,4,-17,41.8,54.6,-12.8,1.0,1.2,2.3,3,0,3,0.0
26,Alex Killorn\killoal01,29,TBL,C/LW,82,16,0.22,0.27,0.49,0.19,0.55,1.87,18,22,40,16,69,13,49,15,22,46.4,35.7,10.7,2.4,1.9,4.3,0,,,
27,Alex Lyon\lyonal01,26,PHI,G,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,6,1,0,2.0,1.7,,0.0,0.0,-0.2,0,,,
28,Alex Nedeljkovic\nedelal01,23,CAR,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,5,1,2,0,0,2.4,0.9,,0.0,0.0,0.2,0,,,
29,Alex Ovechkin\ovechal01,33,WSH,LW,81,37,0.63,0.47,1.10,0.46,0.49,4.17,52,38,90,39,138,47,85,0,7,57.3,67.1,-9.8,9.2,1.8,11.0,4,2,2,50.0
30,Alex Pietrangelo\pietral01,29,STL,D,71,15,0.18,0.39,0.58,0.21,0.31,2.37,13,28,41,15,101,28,92,21,2,66.4,57.6,8.8,3.3,4.0,7.3,0,,,
31,Alex Stalock\staloal01,31,MIN,G,21,1,0.00,0.10,0.10,0.03,0.19,0.00,0,2,2,1,37,8,53,15,0,40.6,31.6,,0.0,0.0,2.3,0,,,
32,Alex Steen\steenal01,34,STL,C,65,10,0.15,0.26,0.42,0.15,0.22,1.75,10,17,27,10,46,11,45,12,2,33.1,28.4,4.7,0.8,1.4,2.2,1,0,1,0.0
33,Alex Tuch\tuchal01,22,VEG,RW,74,20,0.27,0.43,0.70,0.27,0.11,2.43,20,32,52,20,80,20,47,0,13,54.9,45.1,9.8,4.0,1.9,5.9,2,1,1,50.0
34,Alexandar Georgiev\georgal01,22,NYR,G,33,1,0.00,0.06,0.06,0.02,0.06,0.00,0,2,2,1,89,11,91,14,0,61.1,77.2,,0.0,0.0,6.3,0,,,
35,Alexander Edler\edleral01,32,VAN,D,56,12,0.18,0.43,0.61,0.22,0.96,2.29,10,24,34,12,74,24,61,14,3,39.4,41.6,-2.1,2.8,3.6,6.4,1,0,1,0.0
36,Alexander Kerfoot\kerfoal01,24,COL,C,78,16,0.19,0.35,0.54,0.20,0.49,1.49,15,27,42,16,61,21,49,1,-9,43.3,38.7,4.6,2.5,0.9,3.4,0,,,
37,Alexander Nylander\nylanal01,20,BUF,LW,12,2,0.17,0.17,0.33,0.14,0.33,1.33,2,2,4,2,6,2,7,0,-4,5.0,6.8,-1.8,0.2,0.0,0.2,0,,,
38,Alexander Petrovic\petroal01,26,TOT,D,35,1,0.00,0.06,0.06,0.02,0.74,1.34,0,2,2,1,11,0,32,6,-15,17.6,25.1,-7.6,-0.5,0.1,-0.4,0,,,
39,Alexander Radulov\radulal01,32,DAL,RW,70,27,0.41,0.61,1.03,0.39,0.77,2.99,29,43,72,28,105,34,50,1,22,66.3,49.4,16.9,6.2,2.8,9.1,3,0,3,0.0
40,Alexander Wennberg\wennbal01,24,CBJ,C,75,7,0.03,0.31,0.33,0.10,0.16,0.85,2,23,25,7,51,11,48,6,-1,38.3,42.1,-3.8,-0.4,1.2,0.8,0,,,
41,Alexandre Fortin\fortial01,21,CHI,LW,24,2,0.13,0.13,0.25,0.10,0.08,1.21,3,3,6,2,8,0,17,3,-6,11.6,14.1,-2.5,0.2,0.0,0.2,0,,,
42,Alexandre Texier\texieal01,19,CBJ,C,2,1,0.50,0.00,0.50,0.28,0.00,3.00,1,0,1,1,3,0,0,0,3,1.1,0.9,0.2,0.1,0.1,0.3,0,,,
43,Anders Bjork\bjorkan01,22,BOS,LW,20,1,0.05,0.10,0.15,0.05,0.10,0.90,1,2,3,1,8,4,6,1,-1,6.4,7.5,-1.1,-0.3,0.3,0.0,0,,,
44,Anders Lee\leean01,28,NYI,C,82,22,0.34,0.28,0.62,0.26,0.71,2.49,28,23,51,22,86,24,42,0,20,58.8,50.3,8.5,4.1,2.4,6.5,0,,,
45,Anders Nilsson\nilssan01,28,TOT,G,36,0,0.00,0.03,0.03,0.01,0.00,0.00,0,1,1,0,91,17,100,21,0,71.2,75.8,,0.0,0.0,5.9,0,,,
46,Andre Burakovsky\burakan01,23,WSH,LW,76,10,0.16,0.17,0.33,0.13,0.18,1.32,12,13,25,10,36,1,32,0,2,32.1,34.2,-2.0,1.3,0.8,2.2,0,,,
47,Andreas Athanasiou\athanan01,24,DET,C,76,23,0.39,0.32,0.71,0.30,0.50,2.84,30,24,54,23,72,21,62,1,-9,46.6,55.0,-8.4,4.8,1.1,5.9,2,2,0,100.0
48,Andreas Englund\engluan01,23,OTT,D,3,0,0.00,0.00,0.00,0.00,3.33,0.67,0,0,0,0,1,0,3,0,-2,1.2,0.8,0.3,0.0,-0.1,-0.1,0,,,
49,Andreas Johnsson\johnsan01,24,TOR,LW,73,17,0.27,0.32,0.59,0.23,0.44,1.78,20,23,43,17,64,10,41,0,14,44.6,39.0,5.6,3.6,1.4,4.9,0,,,
50,Andreas Martinsen\martian01,28,CHI,LW,24,1,0.04,0.13,0.17,0.06,0.58,0.88,1,3,4,1,6,0,14,3,-5,6.1,10.1,-4.1,0.0,0.0,-0.1,0,,,
51,Andrei Svechnikov\svechan01,18,CAR,RW,82,16,0.24,0.21,0.45,0.19,0.76,2.30,20,17,37,16,62,15,47,0,0,57.2,38.0,19.2,2.5,1.4,3.9,0,,,
52,Andrei Vasilevskiy\vasilan02,24,TBL,G,53,1,0.00,0.06,0.06,0.02,0.11,0.00,0,3,3,1,197,45,128,24,0,118.0,115.4,,0.0,0.0,12.4,0,,,
53,Andrej Sekera\sekeran01,32,EDM,D,24,1,0.00,0.17,0.17,0.05,0.25,1.17,0,4,4,1,20,1,19,3,3,15.3,14.4,0.9,-0.1,1.1,1.0,0,,,
54,Andrej Sustr\sustran01,28,ANA,D,5,0,0.00,0.00,0.00,0.00,1.20,1.20,0,0,0,0,1,0,2,1,0,1.9,2.7,-0.8,-0.1,0.2,0.1,0,,,
55,Andrew Agozzino\agozzan01,28,COL,LW,11,1,0.09,0.09,0.18,0.07,0.00,1.00,1,1,2,1,3,0,2,1,2,3.7,3.0,0.7,0.1,0.2,0.2,0,,,
56,Andrew Cogliano\coglian01,31,TOT,LW/C,78,6,0.08,0.14,0.22,0.08,0.28,1.36,6,11,17,6,25,1,33,10,1,32.6,39.1,-6.4,-0.4,1.4,1.0,0,,,
57,Andrew Copp\coppan01,24,WPG,C,69,10,0.16,0.20,0.36,0.14,0.09,1.19,11,14,25,10,39,0,32,13,20,31.9,27.9,4.0,1.3,1.6,2.9,0,,,
58,Andrew Ladd\laddan01,33,NYI,LW,26,4,0.12,0.31,0.42,0.15,0.62,1.31,3,8,11,4,15,0,13,1,3,12.2,14.6,-2.4,0.4,0.5,1.0,0,,,
59,Andrew MacDonald\macdoan01,32,PHI,D,47,2,0.00,0.19,0.19,0.05,0.38,0.87,0,9,9,2,33,1,47,10,-5,24.8,28.3,-3.5,0.0,1.2,1.1,0,,,
60,Andrew Mangiapane\mangian01,22,CGY,LW,44,6,0.18,0.11,0.30,0.13,0.27,1.48,8,5,13,6,22,0,11,0,11,20.5,12.8,7.7,0.8,0.8,1.6,1,0,1,0.0
61,Andrew Shaw\shawan01,27,MTL,C,63,18,0.30,0.44,0.75,0.28,1.13,2.14,19,28,47,18,64,7,46,6,17,42.8,39.7,3.1,3.8,1.7,5.5,0,,,
62,Andy Greene\greenan01,36,NJD,D,82,8,0.06,0.24,0.30,0.10,0.20,1.27,5,20,25,8,67,2,106,32,-9,55.1,64.8,-9.7,1.0,3.6,4.6,0,,,
63,Andy Welinski\welinan01,25,ANA,D,26,1,0.04,0.12,0.15,0.05,0.31,1.23,1,3,4,1,14,1,18,0,-5,12.2,18.7,-6.5,0.0,0.7,0.7,0,,,
64,Anthony Beauvillier\beauvan01,21,NYI,LW,81,13,0.22,0.12,0.35,0.15,0.10,1.93,18,10,28,13,51,8,42,0,1,50.9,46.2,4.6,1.3,1.5,2.8,1,0,1,0.0
65,Anthony Bitetto\bitetan01,28,TOT,D,36,1,0.00,0.08,0.08,0.02,0.33,0.83,0,3,3,1,12,0,20,1,-7,13.6,20.5,-6.9,-0.2,0.6,0.3,0,,,
66,Anthony Cirelli\cirelan01,21,TBL,C,82,16,0.23,0.24,0.48,0.19,0.41,1.50,19,20,39,16,66,4,56,19,25,47.9,36.2,11.7,2.4,2.0,4.4,1,0,1,0.0
67,Anthony DeAngelo\deangan01,23,NYR,D,61,9,0.07,0.43,0.49,0.15,1.26,1.82,4,26,30,9,71,13,53,1,6,54.5,51.8,2.7,2.0,2.9,4.9,4,2,2,50.0
68,Anthony Duclair\duclaan01,23,TOT,LW,74,14,0.26,0.19,0.45,0.19,0.19,1.78,19,14,33,14,49,11,41,0,-2,33.9,42.7,-8.8,2.6,1.0,3.6,0,,,
68,Anthony Duclair\duclaan01,23,CBJ,LW,53,8,0.21,0.15,0.36,0.16,0.23,1.74,11,8,19,8,31,8,27,0,-3,22.8,28.1,-5.3,1.3,0.6,1.9,1,0,1,0.0
69,Anthony Greco\grecoan01,25,FLA,RW,1,0,0.00,0.00,0.00,0.00,0.00,2.00,0,0,0,0,0,0,3,0,-3,0.6,0.6,0.0,0.0,-0.1,-0.1,0,,,
70,Anthony Mantha\manthan01,24,DET,RW,67,20,0.37,0.34,0.72,0.30,0.45,2.96,25,23,48,20,69,20,56,0,-8,48.0,44.0,4.1,4.0,1.0,5.0,0,,,
71,Anthony Peluso\pelusan01,29,CGY,RW,4,0,0.00,0.00,0.00,0.00,1.75,0.25,0,0,0,0,0,0,1,0,-1,0.4,0.5,-0.1,0.0,0.0,-0.1,0,,,
72,Anthony Richard\richaan01,22,NSH,C,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,-1,0.2,0.2,0.0,0.0,0.0,-0.1,0,,,
73,Anthony Stolarz\stolaan01,25,TOT,G,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,34,3,50,9,0,28.7,36.3,,0.0,0.0,2.3,0,,,
74,Antoine Roussel\roussan01,29,VAN,LW,65,11,0.14,0.34,0.48,0.17,1.82,1.29,9,22,31,11,39,1,45,11,5,32.8,33.8,-1.0,1.6,1.3,2.9,1,0,1,0.0
75,Anton Blidh\blidhan01,23,BOS,LW,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.1,0.5,-0.4,0.0,0.0,0.0,0,,,
76,Anton Khudobin\khudoan01,32,DAL,G,41,0,0.00,0.00,0.00,0.00,0.05,0.00,0,0,0,0,83,12,95,23,0,77.6,83.2,,0.0,0.0,8.6,0,,,
77,Anton Lindholm\lindhan01,24,COL,D,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,-1,1.0,0.7,0.3,0.0,0.0,-0.1,0,,,
78,Anton Stralman\stralan01,32,TBL,D,47,5,0.04,0.32,0.36,0.11,0.17,1.21,2,15,17,5,48,1,49,14,12,35.2,38.1,-2.9,0.7,2.4,3.1,0,,,
79,Antti Niemi\niemian02,35,MTL,G,17,0,0.00,0.06,0.06,0.02,0.00,0.00,0,1,1,0,53,7,61,17,0,35.3,33.2,,0.0,0.0,1.7,0,,,
80,Antti Raanta\raantan01,29,ARI,G,12,0,0.00,0.08,0.08,0.02,0.00,0.00,0,1,1,0,27,4,33,6,0,25.3,25.2,,0.0,0.0,1.8,0,,,
81,Antti Suomela\suomean01,24,SJS,C,27,3,0.11,0.19,0.30,0.11,0.15,1.56,3,5,8,3,8,0,8,1,1,15.0,10.9,4.1,0.2,0.3,0.6,0,,,
82,Anze Kopitar\kopitan01,31,LAK,C,81,23,0.27,0.47,0.74,0.28,0.37,1.93,22,38,60,22,92,27,113,29,-20,57.5,67.3,-9.8,3.3,1.7,5.0,7,3,4,42.9
83,Artem Anisimov\anisiar01,30,CHI,C,78,14,0.19,0.28,0.47,0.18,0.18,1.82,15,22,37,14,55,8,63,14,-2,47.7,59.9,-12.1,1.6,1.0,2.6,0,,,
84,Artemi Panarin\panarar01,27,CBJ,LW,79,32,0.35,0.75,1.10,0.40,0.29,2.42,28,59,87,31,114,22,80,1,14,72.4,60.2,12.2,7.4,2.3,9.7,3,2,1,66.7
85,Artturi Lehkonen\lehkoar01,23,MTL,LW,82,11,0.13,0.24,0.38,0.14,0.39,2.15,11,20,31,11,58,2,64,18,10,53.1,42.9,10.1,0.6,1.7,2.3,0,,,
86,Ashton Sautner\sautnas01,24,VAN,D,17,0,0.00,0.06,0.06,0.02,0.12,1.24,0,1,1,0,7,0,9,0,-2,6.5,8.6,-2.0,-0.2,0.4,0.2,0,,,
87,Austin Czarnik\czarnau01,26,CGY,C,54,6,0.11,0.22,0.33,0.12,0.15,1.20,6,12,18,7,26,3,25,1,-1,24.4,20.0,4.4,0.7,0.5,1.2,0,,,
88,Austin Wagner\wagneau01,21,LAK,LW,62,9,0.19,0.15,0.34,0.15,0.26,1.08,12,9,21,9,23,0,21,0,2,21.1,22.4,-1.3,1.8,0.8,2.7,0,,,
89,Austin Watson\watsoau01,27,NSH,LW,37,6,0.19,0.24,0.43,0.17,1.05,1.73,7,9,16,6,28,1,26,10,11,16.2,20.6,-4.4,0.9,1.0,1.9,0,,,
90,Auston Matthews\matthau01,21,TOR,C,68,30,0.54,0.53,1.07,0.44,0.18,3.69,37,36,73,30,92,27,74,0,-9,60.2,54.3,5.9,7.6,0.7,8.3,2,1,1,50.0
91,Barclay Goodrow\goodrba01,25,SJS,RW,82,6,0.09,0.12,0.21,0.08,0.93,1.02,7,10,17,7,34,0,46,16,4,25.6,26.8,-1.3,-0.1,1.0,0.9,0,,,
92,Ben Bishop\bishobe01,32,DAL,G,46,1,0.00,0.04,0.04,0.01,0.04,0.00,0,2,2,1,123,33,87,17,0,98.4,90.8,,0.0,0.0,10.8,0,,,
93,Ben Chiarot\chiarbe01,27,WPG,D,78,7,0.06,0.19,0.26,0.09,0.79,1.42,5,15,20,7,50,0,59,16,6,43.8,50.5,-6.6,0.7,3.1,3.8,0,,,
94,Ben Gleason\gleasbe01,20,DAL,D,4,0,0.00,0.25,0.25,0.07,0.00,0.50,0,1,1,0,2,0,3,0,-1,2.3,2.7,-0.4,0.0,0.1,0.1,0,,,
95,Ben Harpur\harpube01,24,OTT,D,51,2,0.02,0.08,0.10,0.03,1.10,0.98,1,4,5,2,27,0,53,13,-13,26.0,39.0,-12.9,-0.5,0.9,0.4,0,,,
96,Ben Hutton\huttobe01,25,VAN,D,69,7,0.07,0.22,0.29,0.10,0.62,1.65,5,15,20,7,54,11,83,17,-23,48.1,65.7,-17.6,0.7,2.0,2.7,0,,,
97,Ben Lovejoy\lovejbe01,34,TOT,D,71,3,0.03,0.10,0.13,0.04,0.52,1.34,2,7,9,3,40,0,61,19,-1,42.1,40.6,1.5,-0.4,3.0,2.7,0,,,
98,Ben Street\streebe01,31,ANA,C,21,2,0.14,0.10,0.24,0.10,0.10,0.90,3,2,5,2,6,0,16,6,-4,3.8,12.4,-8.6,0.1,0.2,0.3,0,,,
99,Blake Coleman\colembl01,27,NJD,C,78,16,0.28,0.18,0.46,0.21,0.91,2.73,22,14,36,16,58,8,92,23,-19,45.5,46.0,-0.5,2.2,1.1,3.3,3,1,2,33.3
100,Blake Comeau\comeabl01,32,DAL,RW,77,7,0.09,0.14,0.23,0.09,0.55,1.32,7,11,18,7,31,0,57,19,-7,42.6,45.6,-3.0,-0.9,1.5,0.6,0,,,
101,Blake Lizotte\lizotbl01,21,LAK,C,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.7,0.7,-0.1,0.0,0.0,-0.1,0,,,
102,Blake Pietila\pietibl01,25,NJD,LW,19,0,0.00,0.05,0.05,0.01,0.32,1.16,0,1,1,0,4,0,11,0,-7,6.3,9.2,-2.8,-0.6,0.1,-0.5,0,,,
103,Blake Wheeler\wheelbl01,32,WPG,RW,82,30,0.24,0.87,1.11,0.37,0.73,2.82,20,71,91,30,124,45,94,15,0,56.0,62.6,-6.7,6.4,1.8,8.2,1,0,1,0.0
104,Bo Horvat\horvabo01,23,VAN,C,82,24,0.33,0.41,0.74,0.30,0.40,2.77,27,34,61,24,98,33,76,6,-4,61.9,66.7,-4.8,4.2,2.0,6.2,6,0,6,0.0
105,Bobby Ryan\ryanbo01,31,OTT,LW,78,15,0.19,0.35,0.54,0.20,0.45,2.05,15,27,42,16,66,24,71,0,-29,42.0,52.0,-9.9,2.2,0.3,2.5,1,0,1,0.0
106,Bogdan Kiselevich\kiselbo01,28,FLA,D,32,2,0.00,0.25,0.25,0.07,0.38,0.44,0,8,8,2,14,0,18,1,-3,17.6,13.5,4.0,0.2,0.8,1.0,0,,,
107,Boo Nieves\nievecr01,25,NYR,C,43,4,0.09,0.14,0.23,0.09,0.19,0.79,4,6,10,4,13,0,20,3,-4,13.4,19.0,-5.6,0.3,0.3,0.6,0,,,
108,Boone Jenner\jennebo01,25,CBJ,C,77,15,0.21,0.29,0.49,0.19,0.55,2.21,16,22,38,15,65,9,64,15,6,50.1,49.2,0.9,1.9,1.7,3.6,0,,,
109,Brad Hunt\huntbr01,30,TOT,D,42,5,0.12,0.17,0.29,0.11,0.19,1.79,5,7,12,5,28,12,18,0,-2,24.9,18.2,6.7,1.0,1.5,2.4,0,,,
110,Brad Malone\malonbr01,29,EDM,C/LW,16,0,0.00,0.00,0.00,0.00,0.25,0.81,0,0,0,0,1,0,4,3,0,2.4,3.7,-1.3,-0.4,0.2,-0.2,0,,,
111,Brad Marchand\marchbr03,30,BOS,LW,79,37,0.46,0.81,1.27,0.46,1.22,2.92,36,64,100,37,134,52,79,12,15,56.0,52.7,3.3,9.2,2.5,11.7,5,1,4,20.0
112,Brad Richardson\richabr02,33,ARI,C,66,13,0.29,0.12,0.41,0.20,0.33,1.94,19,8,27,13,43,0,46,9,6,34.3,32.4,1.9,1.8,1.8,3.7,0,,,
113,Braden Holtby\holtbbr01,29,WSH,G,59,1,0.00,0.03,0.03,0.01,0.03,0.00,0,2,2,1,189,37,160,40,0,114.8,131.1,,0.0,0.0,10.2,0,,,
114,Brady Keeper\keepebr01,22,FLA,D,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,1,0,0,0,1,0.5,0.1,0.4,0.0,0.1,0.1,0,,,
115,Brady Skjei\skjeibr01,24,NYR,D,78,9,0.10,0.22,0.32,0.11,0.56,1.62,8,17,25,9,69,1,90,18,-4,61.3,70.6,-9.3,1.3,3.2,4.5,0,,,
116,Brady Tkachuk\tkachbr01,19,OTT,LW,71,18,0.31,0.32,0.63,0.25,1.06,3.01,22,23,45,18,67,17,60,0,-10,45.5,40.8,4.7,3.5,0.9,4.4,0,,,
117,Brandon Carlo\carlobr01,22,BOS,D,72,3,0.03,0.11,0.14,0.04,0.65,1.61,2,8,10,3,56,1,59,26,22,52.3,45.7,6.6,-0.6,5.0,4.3,0,,,
118,Brandon Davidson\davidbr01,27,CHI,D,10,0,0.00,0.10,0.10,0.03,1.50,0.70,0,1,1,0,3,0,8,1,-4,4.8,6.7,-1.9,-0.1,-0.1,-0.2,0,,,
119,Brandon Dubinsky\dubinbr01,32,CBJ,C,61,6,0.10,0.13,0.23,0.09,0.59,1.03,6,8,14,5,20,0,41,5,-16,25.0,28.9,-3.9,-0.1,0.2,0.2,0,,,
120,Brandon Gignac\gignabr01,21,NJD,C,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,2,0,-2,0.2,1.2,-1.0,0.0,-0.1,-0.1,0,,,
121,Brandon Manning\mannibr01,28,TOT,D,39,2,0.05,0.05,0.10,0.04,0.64,0.85,2,2,4,2,20,0,49,14,-15,16.6,24.2,-7.5,-0.1,-0.2,-0.3,0,,,
122,Brandon Montour\montobr01,24,TOT,D,82,12,0.10,0.33,0.43,0.14,0.68,2.21,8,27,35,12,68,8,95,15,-20,65.8,75.5,-9.6,2.1,3.2,5.3,0,,,
123,Brandon Pirri\pirribr01,27,VEG,C,31,8,0.39,0.19,0.58,0.27,0.19,2.65,12,6,18,8,27,5,16,0,7,18.8,13.6,5.3,1.8,0.8,2.6,2,0,2,0.0
124,Brandon Saad\saadbr01,26,CHI,LW,80,19,0.29,0.30,0.59,0.23,0.15,2.44,23,24,47,19,71,9,88,17,-9,56.6,59.5,-2.9,3.0,0.9,3.9,0,,,
125,Brandon Sutter\suttebr03,29,VAN,C/RW,26,3,0.15,0.08,0.23,0.11,0.23,1.65,4,2,6,3,12,1,26,3,-12,9.0,18.5,-9.5,-0.2,0.1,-0.1,0,,,
126,Brandon Tanev\tanevbr01,27,WPG,LW,80,12,0.18,0.19,0.36,0.15,0.51,1.59,14,15,29,12,37,0,45,16,9,34.5,35.0,-0.5,1.2,1.5,2.7,0,,,
127,Brayden McNabb\mcnabbr01,28,VEG,D,81,6,0.05,0.15,0.20,0.07,0.64,1.04,4,12,16,5,70,0,90,31,11,66.0,57.4,8.6,0.1,4.2,4.3,0,,,
128,Brayden Point\pointbr01,22,TBL,C,79,36,0.52,0.65,1.16,0.45,0.35,2.42,41,51,92,36,140,60,53,0,27,66.6,60.1,6.5,9.1,2.3,11.4,6,0,6,0.0
129,Brayden Schenn\schenbr01,27,STL,C,72,19,0.24,0.51,0.75,0.27,0.56,2.21,17,37,54,19,82,21,63,5,3,64.5,46.8,17.7,3.4,1.8,5.2,1,0,1,0.0
130,Braydon Coburn\coburbr01,33,TBL,D,74,7,0.05,0.26,0.31,0.10,0.46,1.53,4,19,23,7,52,0,60,12,4,51.1,45.9,5.2,1.2,2.1,3.4,0,,,
131,Brendan Gallagher\gallabr01,26,MTL,RW,82,23,0.40,0.23,0.63,0.28,0.60,3.68,33,19,52,23,81,16,56,0,10,62.9,46.5,16.4,4.7,1.8,6.5,0,,,
132,Brendan Gaunce\gauncbr01,24,VAN,C,3,1,0.33,0.67,1.00,0.37,0.00,0.67,1,2,3,1,4,0,1,0,3,0.8,0.8,-0.1,0.3,0.1,0.5,0,,,
133,Brendan Guhle\guhlebr01,21,TOT,D,8,0,0.00,0.13,0.13,0.03,0.50,1.88,0,1,1,0,2,0,4,0,-2,4.8,4.5,0.3,0.0,0.2,0.1,0,,,
