,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
951,Tyler Seguin\seguity01,27,DAL,C,82,30,0.40,0.57,0.98,0.37,0.22,4.07,33,47,80,31,110,36,69,12,17,73.1,59.2,13.9,6.6,3.1,9.7,3,1,2,33.3
952,Tyler Toffoli\toffoty01,26,LAK,C,82,13,0.16,0.26,0.41,0.16,0.28,2.76,13,21,34,13,60,15,76,15,-16,51.4,42.6,8.8,0.9,1.3,2.2,1,1,0,100.0
953,Tyrell Goulbourne\goulbty01,25,PHI,LW,2,0,0.00,0.00,0.00,0.00,0.00,1.50,0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.0,0.0,0.0,0,,,
954,Tyson Barrie\barrity01,27,COL,D,78,20,0.18,0.58,0.76,0.26,0.46,2.79,14,45,59,20,110,41,71,1,-3,67.7,58.5,9.2,5.3,3.0,8.4,0,,,
955,Tyson Jost\jostty01,20,COL,C,70,10,0.16,0.21,0.37,0.14,0.20,1.63,11,15,26,10,43,12,32,0,-2,30.4,32.9,-2.5,1.2,0.9,2.1,0,,,
956,Urho Vaakanainen\vaakaur01,20,BOS,D,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.4,1.1,-0.7,0.0,0.0,-0.1,0,,,
957,Valentin Zykov\zykovva01,23,TOT,LW,28,2,0.07,0.11,0.18,0.07,0.07,1.04,2,3,5,2,8,4,9,0,-5,9.1,8.7,0.4,-0.1,0.1,0.1,0,,,
958,Valeri Nichushkin\nichuva01,23,DAL,RW,57,3,0.00,0.18,0.18,0.05,0.00,1.14,0,10,10,3,23,2,26,1,-4,24.8,23.2,1.6,-0.9,0.8,-0.1,0,,,
959,Valtteri Filppula\filppva01,34,NYI,C,72,13,0.24,0.19,0.43,0.18,0.22,1.08,17,14,31,13,47,3,34,9,19,33.0,41.0,-8.0,2.0,2.0,3.9,3,0,3,0.0
960,Victor Hedman\hedmavi01,28,TBL,D,70,18,0.17,0.60,0.77,0.25,0.63,2.60,12,42,54,18,125,45,70,13,24,57.3,53.3,4.0,4.7,4.3,8.9,5,4,1,80.0
